,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,버스도착정보안내기_설치_여부
0,113000001,마포역,중앙차로,14001,37.540943,126.947964,설치   
1,113000002,마포역,중앙차로,14002,37.540277,126.946785,설치   
2,113000003,공덕역,중앙차로,14003,37.543605,126.950905,설치   
3,113000004,공덕역,중앙차로,14004,37.544502,126.951354,설치   
4,113000005,아현동주민센터,중앙차로,14005,37.546365,126.952907,설치   
5,113000006,아현동주민센터,중앙차로,14006,37.547078,126.953242,설치   
6,113000007,마포경찰서,중앙차로,14007,37.5502,126.955212,설치   
7,113000008,마포경찰서,중앙차로,14008,37.55077,126.955305,설치   
8,113000009,아현초등학교,중앙차로,14009,37.554078,126.9571,설치   
9,113000010,아현초등학교,중앙차로,14010,37.554898,126.957335,설치   
10,113000011,마포구청.성산자동차검사소,일반차로,14101,37.564954,126.902423,설치   
11,113000012,마포구청,일반차로,14102,37.564902,126.90189,설치   
12,113000013,마포농수산물시장.월드컵공원,일반차로,14103,37.566107,126.897454,설치   
13,113000014,월드컵경기장남측.월드컵공원,일반차로,14104,37.566668,126.896326,설치   
14,113000015,월드컵경기장서측.문화비축기지,일반차로,14105,37.569236,126.895468,설치   
15,113000016,월드컵경기장서측.문화비축기지,일반차로,14106,37.569498,126.894964,설치   
16,113000017,월드컵파크3단지.난지천공원,일반차로,14107,37.573355,126.887957,미설치  
17,113000018,월드컵파크3단지.난지천공원,일반차로,14108,37.572319,126.888462,미설치  
18,113000019,서부면허시험장,일반차로,14109,37.577883,126.880437,미설치  
19,113000020,서부면허시험장,일반차로,14110,37.577561,126.880398,미설치  
20,113000021,DMC첨단산업센터,일반차로,14111,37.585344,126.885188,설치   
21,113000022,DMC첨단산업센터,일반차로,14112,37.585598,126.884787,설치   
22,113000025,월드컵공원입구.문화비축기지입구,일반차로,14115,37.568523,126.892748,미설치  
23,113000026,월드컵파크3단지정문,일반차로,14116,37.573822,126.889228,미설치  
24,113000027,월드컵파크2단지.에스플렉스센터,일반차로,14117,37.575267,126.890647,미설치  
25,113000028,월드컵파크2단지.에스플렉스센터,일반차로,14118,37.575338,126.890291,설치   
26,113000029,합정역,일반차로,14119,37.548591,126.914301,미설치  
27,113000030,합정역,일반차로,14120,37.548797,126.914625,설치   
28,113000031,서울화력발전소입구,일반차로,14121,37.548189,126.917506,설치   
29,113000032,서울화력발전소입구,일반차로,14122,37.547937,126.917445,설치   
30,113000033,상수역,일반차로,14123,37.547683,126.921647,설치   
31,113000034,상수역,일반차로,14124,37.547874,126.921564,설치   
32,113000035,서강초등학교,일반차로,14125,37.547803,126.925367,설치   
33,113000036,서강초등학교,일반차로,14126,37.547491,126.926194,설치   
34,113000037,광흥창역,일반차로,14127,37.547609,126.930541,설치   
35,113000038,광흥창역,일반차로,14128,37.547352,126.930584,설치   
36,113000039,광흥창역,일반차로,14129,37.547312,126.933939,설치   
37,113000040,마포세무서,일반차로,14130,37.546971,126.939092,설치   
38,113000042,마포역,일반차로,14132,37.539709,126.945737,미설치  
39,113000051,공덕역.공덕시장,일반차로,14141,37.544413,126.953031,설치   
40,113000052,공덕시장,일반차로,14142,37.544352,126.954148,미설치  
41,113000053,신덕성결교회,일반차로,14143,37.545941,126.956691,미설치  
42,113000054,신덕성결교회,일반차로,14144,37.545892,126.956162,설치   
43,113000055,한겨레신문사,일반차로,14145,37.548147,126.958816,설치   
44,113000056,한겨레신문사,일반차로,14146,37.547997,126.958987,설치   
45,113000058,공덕역6번출구,일반차로,14149,37.543073,126.953163,미설치  
46,113000059,공덕역7번출구,일반차로,14150,37.542751,126.953332,미설치  
47,113000060,용마루고개.신공덕삼성아파트,일반차로,14151,37.541871,126.955885,설치   
48,113000061,서울대동창회관,일반차로,14152,37.542445,126.950744,미설치  
49,113000062,공덕역8번출구,일반차로,14153,37.543494,126.951632,미설치  
50,113000063,도화동현대아파트,일반차로,14154,37.540332,126.955701,설치   
51,113000064,도화동현대아파트,일반차로,14155,37.540543,126.955833,설치   
52,113000065,중동초등학교,일반차로,14156,37.566873,126.910419,설치   
53,113000066,중동초등학교,일반차로,14157,37.566622,126.910308,설치   
54,113000067,성산2동주민센터,일반차로,14158,37.567793,126.908326,미설치  
55,113000068,성산2동주민센터,일반차로,14159,37.568004,126.908437,설치   
56,113000069,성산119안전센터,일반차로,14160,37.569862,126.903857,설치   
57,113000070,성산119안전센터,일반차로,14161,37.569713,126.903713,미설치  
58,113000071,성산아파트,일반차로,14162,37.571597,126.901499,미설치  
59,113000072,성산아파트,일반차로,14163,37.571461,126.901413,미설치  
60,113000073,DMC상암센트럴파크,일반차로,14164,37.575184,126.89604,설치   
61,113000074,DMC상암센트럴파크,일반차로,14165,37.575155,126.895485,설치   
62,113000075,상암초등학교,일반차로,14166,37.576392,126.893422,설치   
63,113000076,상암초등학교,일반차로,14167,37.57655,126.89372,설치   
64,113000077,신촌로터리,일반차로,14168,37.553809,126.936883,설치   
65,113000078,신촌로터리,일반차로,14169,37.553524,126.937268,설치   
66,113000079,서강대학교,일반차로,14170,37.5511,126.93797,미설치  
67,113000080,서강대학교,일반차로,14171,37.551827,126.937315,설치   
68,113000081,광성중고등학교,일반차로,14172,37.549355,126.938672,설치   
69,113000082,광성중고등학교,일반차로,14173,37.548952,126.93986,설치   
70,113000083,대흥역,일반차로,14174,37.548107,126.940989,설치   
