역사_ID,역사명,호선,위도,경도
9010,동탄,수도권 광역급행철도,37.20034,127.09569
9009,구성,수도권 광역급행철도,37.29913,127.10389
9008,성남,수도권 광역급행철도,37.39467,127.12058
9007,수서,수도권 광역급행철도,37.48637,127.10161
9006,삼성,수도권 광역급행철도,37.50887,127.06324
9005,서울,수도권 광역급행철도,37.55569,126.97296
9004,연신내,수도권 광역급행철도,37.61878,126.9213
9002,대곡,수도권 광역급행철도,37.63191,126.81113
9001,킨텍스,수도권 광역급행철도,37.66532,126.74843
9000,운정,수도권 광역급행철도,37.71614,126.72841
4815,원시,서해선,37.302371,126.786691
4814,원곡,서해선,37.31321,126.796261
4813,초지,서해선,37.319619,126.808147
4812,선부,서해선,37.334353,126.809904
4811,달미,서해선,37.348847,126.809409
4810,시흥능곡,서해선,37.369864,126.808573
4809,시흥시청,서해선,37.382223,126.805625
4808,신현,서해선,37.409008,126.788017
4807,신천,서해선,37.439066,126.786788
4806,시흥대야,서해선,37.450145,126.793041
4805,소새울,서해선,37.468467,126.797252
4804,소사,서해선,37.483279,126.795023
4713,신설동,우이신설선,37.576095,127.023242
4712,보문,우이신설선,37.585286,127.019381
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516
4710,정릉,우이신설선,37.603133,127.013396
4709,북한산보국문,우이신설선,37.612072,127.008251
4708,솔샘,우이신설선,37.620238,127.013626
4707,삼양사거리,우이신설선,37.621337,127.020473
4706,삼양,우이신설선,37.626914,127.018106
4705,화계,우이신설선,37.634133,127.017511
4704,가오리,우이신설선,37.641537,127.016789
4703,4.19민주묘지,우이신설선,37.649502,127.013684
4702,솔밭공원,우이신설선,37.65603,127.013273
4701,북한산우이,우이신설선,37.662909,127.012706
434,남태령,4호선,37.463873,126.989134
433,사당,4호선,37.47653,126.981685
432,총신대입구(이수),4호선,37.486263,126.981989
4319,광교(경기대),신분당선(연장),37.30211,127.044483
4318,광교중앙(아주대),신분당선(연장),37.288617,127.051478
4317,상현,신분당선(연장),37.297664,127.069342
4316,성복,신분당선(연장),37.313335,127.0801
4315,수지구청,신분당선(연장),37.322702,127.095026
4314,동천,신분당선(연장),37.337928,127.102976
4313,미금,신분당선(연장),37.349982,127.108918
4312,정자,신분당선,37.367098,127.108403
4311,판교,신분당선,37.394761,127.112217
4310,청계산입구,신분당선,37.447211,127.055664
431,동작(현충원),4호선,37.502971,126.979306
4309,양재시민의숲(매헌),신분당선,37.470023,127.03842
4308,양재(서초구청),신분당선,37.483809,127.034653
4307,강남,신분당선,37.496837,127.028104
4306,신논현,신분당선(연장2),37.504598,127.02506
4305,논현,신분당선(연장2),37.511093,127.021415
4304,신사,신분당선(연장2),37.516334,127.020114
430,이촌(국립중앙박물관),4호선,37.522272,126.974345
429,신용산,4호선,37.52917,126.967894
428,삼각지,4호선,37.534777,126.97311
427,숙대입구(갈월),4호선,37.54456,126.972106
426,서울역,4호선,37.554648,126.972559
425,회현(남대문시장),4호선,37.558514,126.978246
424,명동,4호선,37.560989,126.986325
423,충무로,4호선,37.561243,126.99428
422,동대문역사문화공원,4호선,37.565138,127.007896
4217,영종,공항철도1호선,37.51202,126.524254
4215,인천공항2터미널,공항철도1호선,37.460699,126.441442
4213,인천공항1터미널,공항철도1호선,37.447464,126.452508
4212,공항화물청사,공항철도1호선,37.459041,126.477516
4211,운서,공항철도1호선,37.492904,126.49379
4210,청라국제도시,공항철도1호선,37.556409,126.624648
421,동대문,4호선,37.57142,127.009745
4209,검암,공항철도1호선,37.569098,126.674007
4208,계양,공항철도1호선,37.571662,126.7363
4207,김포공항,공항철도1호선,37.561842,126.801904
4206,마곡나루,공항철도1호선,37.565543,126.827378
4204,디지털미디어시티,공항철도1호선,37.576958,126.898609
4203,홍대입구,공항철도1호선,37.557438,126.926715
4202,공덕,공항철도1호선,37.54253,126.952024
4201,서울역,공항철도1호선,37.553247,126.969769
420,혜화,4호선,37.582336,127.001844
419,한성대입구(삼선교),4호선,37.588458,127.006221
418,성신여대입구(돈암),4호선,37.592624,127.016403
417,길음,4호선,37.603407,127.025053
416,미아사거리,4호선,37.613292,127.030053
415,미아(서울사이버대학),4호선,37.62667,127.025983
414,수유(강북구청),4호선,37.638052,127.025732
413,쌍문,4호선,37.648627,127.034709
4125,신논현,9호선,37.504598,127.02506
4124,사평,9호선,37.504206,127.015259
4123,고속터미널,9호선,37.50598,127.004403
4122,신반포,9호선,37.503415,126.995925
4121,구반포,9호선,37.501364,126.987332
4120,동작(현충원),9호선,37.502878,126.978153
412,창동,4호선,37.653166,127.047731
4119,흑석(중앙대입구),9호선,37.50877,126.963708
4118,노들,9호선,37.512887,126.953222
4117,노량진,9호선,37.513534,126.941005
4116,샛강,9호선,37.517274,126.928422
4115,여의도,9호선,37.52176,126.92403
4114,국회의사당,9호선,37.528105,126.917874
4113,당산,9호선,37.533406,126.902809
4112,선유도,9호선,37.53802,126.893525
4111,신목동,9호선,37.544277,126.88308
4110,염창,9호선,37.546936,126.874916
411,노원,4호선,37.655128,127.061368
4109,등촌,9호선,37.550632,126.865689
4108,증미,9호선,37.557402,126.861939
4107,가양,9호선,37.561391,126.854456
4106,양천향교,9호선,37.568381,126.841333
4105,마곡나루,9호선,37.566778,126.82731
